clearing_day,market,market_cn,product,n_contracts,n2100,n2100v,n0900
20230710,XDCE,大商所,C,6,6,3,0
20230710,XDCE,大商所,CS,6,6,4,0
20230710,XDCE,大商所,EB,12,12,4,0
20230710,XDCE,大商所,EG,12,12,4,0
20230710,XDCE,大商所,I,12,12,8,0
20230710,XDCE,大商所,J,12,12,2,0
20230710,XDCE,大商所,JM,12,12,2,0
20230710,XDCE,大商所,L,12,12,4,0
20230710,XDCE,大商所,M,8,8,5,0
20230710,XDCE,大商所,P,12,12,5,0
20230710,XDCE,大商所,PG,12,12,5,0
20230710,XDCE,大商所,PP,12,12,5,0
20230710,XDCE,大商所,RR,12,12,1,0
20230710,XDCE,大商所,V,12,12,4,0
20230710,XDCE,大商所,Y,8,8,3,0
20230710,XSGE,上期所,AG,12,12,6,0
20230710,XSGE,上期所,AL,12,12,2,0
20230710,XSGE,上期所,AO,8,8,2,0
20230710,XSGE,上期所,AU,8,8,3,0
20230710,XSGE,上期所,BU,16,16,5,0
20230710,XSGE,上期所,CU,12,12,3,0
20230710,XSGE,上期所,FU,12,12,4,0
20230710,XSGE,上期所,HC,12,12,4,0
20230710,XSGE,上期所,NI,12,12,5,0
20230710,XSGE,上期所,PB,12,12,2,0
20230710,XSGE,上期所,RB,12,12,5,0
20230710,XSGE,上期所,RU,10,10,3,0
20230710,XSGE,上期所,SN,12,12,2,0
20230710,XSGE,上期所,SP,12,12,4,0
20230710,XSGE,上期所,SS,12,12,3,0
20230710,XSGE,上期所,ZN,12,12,3,0
20230710,XSIE,能源中心,BC,12,12,2,0
20230710,XSIE,能源中心,LU,12,12,3,0
20230710,XSIE,能源中心,NR,12,12,3,0
20230710,XSIE,能源中心,SC,20,20,2,0
20230711,XDCE,大商所,A,6,6,4,0
20230711,XDCE,大商所,B,12,12,4,0
20230711,XDCE,大商所,C,6,6,5,0
20230711,XDCE,大商所,CS,6,6,3,0
20230711,XDCE,大商所,EB,12,12,5,0
20230711,XDCE,大商所,EG,12,12,3,0
20230711,XDCE,大商所,I,12,12,6,0
20230711,XDCE,大商所,J,12,12,2,0
20230711,XDCE,大商所,JM,12,12,2,0
20230711,XDCE,大商所,L,12,12,5,0
20230711,XDCE,大商所,M,8,8,6,0
20230711,XDCE,大商所,P,12,12,7,0
20230711,XDCE,大商所,PG,12,12,5,0
20230711,XDCE,大商所,PP,12,12,4,0
20230711,XDCE,大商所,RR,12,12,1,0
20230711,XDCE,大商所,V,12,12,5,0
20230711,XDCE,大商所,Y,8,8,6,0
20230711,XSGE,上期所,AG,12,12,9,0
20230711,XSGE,上期所,AL,12,12,5,0
20230711,XSGE,上期所,AO,8,8,2,0
20230711,XSGE,上期所,AU,8,8,4,0
20230711,XSGE,上期所,BU,16,16,5,0
20230711,XSGE,上期所,CU,12,12,6,0
20230711,XSGE,上期所,FU,12,12,6,0
20230711,XSGE,上期所,HC,12,12,4,0
20230711,XSGE,上期所,NI,12,12,4,0
20230711,XSGE,上期所,PB,12,12,2,0
20230711,XSGE,上期所,RB,12,12,6,0
20230711,XSGE,上期所,RU,10,10,5,0
20230711,XSGE,上期所,SN,12,12,3,0
20230711,XSGE,上期所,SP,12,12,5,0
20230711,XSGE,上期所,SS,12,12,2,0
20230711,XSGE,上期所,ZN,12,12,4,0
20230711,XSIE,能源中心,BC,12,12,2,0
20230711,XSIE,能源中心,LU,12,12,3,0
20230711,XSIE,能源中心,NR,12,12,3,0
20230711,XSIE,能源中心,SC,20,20,3,0
20230712,XDCE,大商所,A,6,6,2,0
20230712,XDCE,大商所,B,12,12,3,0
20230712,XDCE,大商所,C,6,6,5,0
20230712,XDCE,大商所,CS,6,6,3,0
20230712,XDCE,大商所,EB,12,12,6,0
20230712,XDCE,大商所,EG,12,12,4,0
20230712,XDCE,大商所,I,12,12,7,0
20230712,XDCE,大商所,J,12,12,2,0
20230712,XDCE,大商所,JM,12,12,3,0
20230712,XDCE,大商所,L,12,12,5,0
20230712,XDCE,大商所,M,8,8,6,0
20230712,XDCE,大商所,P,12,12,7,0
20230712,XDCE,大商所,PG,12,12,5,0
20230712,XDCE,大商所,PP,12,12,4,0
20230712,XDCE,大商所,RR,12,12,1,0
20230712,XDCE,大商所,V,12,12,3,0
20230712,XDCE,大商所,Y,8,8,4,0
20230712,XSGE,上期所,AG,12,12,7,0
20230712,XSGE,上期所,AL,12,12,4,0
20230712,XSGE,上期所,AO,8,8,2,0
20230712,XSGE,上期所,AU,8,8,4,0
20230712,XSGE,上期所,BU,16,16,5,0
20230712,XSGE,上期所,CU,12,12,6,0
20230712,XSGE,上期所,FU,12,12,6,0
20230712,XSGE,上期所,HC,12,12,5,0
20230712,XSGE,上期所,NI,12,12,5,0
20230712,XSGE,上期所,PB,12,12,4,0
20230712,XSGE,上期所,RB,12,12,5,0
20230712,XSGE,上期所,RU,10,10,5,0
20230712,XSGE,上期所,SN,12,12,3,0
20230712,XSGE,上期所,SP,12,12,4,0
20230712,XSGE,上期所,SS,12,12,3,0
20230712,XSGE,上期所,ZN,12,12,3,0
20230712,XSIE,能源中心,BC,12,12,3,0
20230712,XSIE,能源中心,LU,12,12,3,0
20230712,XSIE,能源中心,NR,12,12,3,0
20230712,XSIE,能源中心,SC,20,20,3,0
20230713,XDCE,大商所,A,6,6,3,0
20230713,XDCE,大商所,B,12,12,4,0
20230713,XDCE,大商所,C,6,6,3,0
20230713,XDCE,大商所,CS,6,6,2,0
20230713,XDCE,大商所,EB,12,12,5,0
20230713,XDCE,大商所,EG,12,12,3,0
20230713,XDCE,大商所,I,12,12,6,0
20230713,XDCE,大商所,J,12,12,2,0
20230713,XDCE,大商所,JM,12,12,2,0
20230713,XDCE,大商所,L,12,12,5,0
20230713,XDCE,大商所,M,8,8,5,0
20230713,XDCE,大商所,P,12,12,6,0
20230713,XDCE,大商所,PG,12,12,4,0
20230713,XDCE,大商所,PP,12,12,6,0
20230713,XDCE,大商所,RR,12,12,1,0
20230713,XDCE,大商所,V,12,12,3,0
20230713,XDCE,大商所,Y,8,8,3,0
20230713,XSGE,上期所,AG,12,12,8,0
20230713,XSGE,上期所,AL,12,12,4,0
20230713,XSGE,上期所,AO,8,8,2,0
20230713,XSGE,上期所,AU,8,8,3,0
20230713,XSGE,上期所,BU,16,16,6,0
20230713,XSGE,上期所,CU,12,12,5,0
20230713,XSGE,上期所,FU,12,12,7,0
20230713,XSGE,上期所,HC,12,12,4,0
20230713,XSGE,上期所,NI,12,12,3,0
20230713,XSGE,上期所,PB,12,12,3,0
20230713,XSGE,上期所,RB,12,12,4,0
20230713,XSGE,上期所,RU,10,10,2,0
20230713,XSGE,上期所,SN,12,12,3,0
20230713,XSGE,上期所,SP,12,12,4,0
20230713,XSGE,上期所,SS,12,12,3,0
20230713,XSGE,上期所,ZN,12,12,3,0
20230713,XSIE,能源中心,BC,12,12,2,0
20230713,XSIE,能源中心,LU,12,12,3,0
20230713,XSIE,能源中心,NR,12,12,3,0
20230713,XSIE,能源中心,SC,20,20,3,0
20230714,XDCE,大商所,A,6,6,2,0
20230714,XDCE,大商所,B,12,12,2,0
20230714,XDCE,大商所,C,6,6,4,0
20230714,XDCE,大商所,CS,6,6,2,0
20230714,XDCE,大商所,EB,12,12,4,0
20230714,XDCE,大商所,EG,12,12,3,0
20230714,XDCE,大商所,I,12,12,4,0
20230714,XDCE,大商所,J,12,12,1,0
20230714,XDCE,大商所,JM,12,12,3,0
20230714,XDCE,大商所,L,12,12,6,0
20230714,XDCE,大商所,M,8,8,7,0
20230714,XDCE,大商所,P,12,12,5,0
20230714,XDCE,大商所,PG,12,12,3,0
20230714,XDCE,大商所,PP,12,12,4,0
20230714,XDCE,大商所,RR,12,12,3,0
20230714,XDCE,大商所,V,12,12,6,0
20230714,XDCE,大商所,Y,8,8,7,0
20230714,XSGE,上期所,AG,12,12,8,0
20230714,XSGE,上期所,AL,12,12,5,0
20230714,XSGE,上期所,AO,8,8,2,0
20230714,XSGE,上期所,AU,8,8,3,0
20230714,XSGE,上期所,BU,16,16,5,0
20230714,XSGE,上期所,CU,12,12,6,0
20230714,XSGE,上期所,FU,12,12,5,0
20230714,XSGE,上期所,HC,12,12,3,0
20230714,XSGE,上期所,NI,12,12,3,0
20230714,XSGE,上期所,PB,12,12,3,0
20230714,XSGE,上期所,RB,12,12,6,0
20230714,XSGE,上期所,RU,10,10,3,0
20230714,XSGE,上期所,SN,12,12,5,0
20230714,XSGE,上期所,SP,12,12,4,0
20230714,XSGE,上期所,SS,12,12,3,0
20230714,XSGE,上期所,ZN,12,12,3,0
20230714,XSIE,能源中心,BC,12,12,2,0
20230714,XSIE,能源中心,LU,12,12,2,0
20230714,XSIE,能源中心,NR,12,12,3,0
20230714,XSIE,能源中心,SC,20,20,2,0
20230717,XDCE,大商所,A,6,6,2,0
20230717,XDCE,大商所,B,12,12,3,0
20230717,XDCE,大商所,C,6,6,5,0
20230717,XDCE,大商所,CS,6,6,3,0
20230717,XDCE,大商所,EB,12,12,4,0
20230717,XDCE,大商所,EG,12,12,4,0
20230717,XDCE,大商所,I,12,12,8,0
20230717,XDCE,大商所,J,12,12,2,0
20230717,XDCE,大商所,JM,12,12,3,0
20230717,XDCE,大商所,L,12,12,6,0
20230717,XDCE,大商所,M,8,8,6,0
20230717,XDCE,大商所,P,12,12,6,0
20230717,XDCE,大商所,PG,12,12,6,0
20230717,XDCE,大商所,PP,12,12,4,0
20230717,XDCE,大商所,RR,12,12,3,0
20230717,XDCE,大商所,V,12,12,4,0
20230717,XDCE,大商所,Y,8,8,5,0
20230717,XSGE,上期所,AG,12,12,7,0
20230717,XSGE,上期所,AL,12,12,3,0
20230717,XSGE,上期所,AO,8,8,1,0
20230717,XSGE,上期所,AU,8,8,4,0
20230717,XSGE,上期所,BU,16,16,5,0
20230717,XSGE,上期所,CU,12,12,3,0
20230717,XSGE,上期所,FU,12,12,6,0
20230717,XSGE,上期所,HC,12,12,3,0
20230717,XSGE,上期所,NI,12,12,5,0
20230717,XSGE,上期所,PB,12,12,4,0
20230717,XSGE,上期所,RB,12,12,7,0
20230717,XSGE,上期所,RU,10,10,2,0
20230717,XSGE,上期所,SN,12,12,5,0
20230717,XSGE,上期所,SP,12,12,4,0
20230717,XSGE,上期所,SS,12,12,3,0
20230717,XSGE,上期所,ZN,12,12,3,0
20230717,XSIE,能源中心,BC,12,12,2,0
20230717,XSIE,能源中心,LU,12,12,4,0
20230717,XSIE,能源中心,NR,12,12,2,0
20230717,XSIE,能源中心,SC,20,20,2,0
20230718,XDCE,大商所,A,6,6,2,0
20230718,XDCE,大商所,B,12,12,2,0
20230718,XDCE,大商所,C,6,6,4,0
20230718,XDCE,大商所,CS,6,6,3,0
20230718,XDCE,大商所,EB,12,12,5,0
20230718,XDCE,大商所,EG,12,12,4,0
20230718,XDCE,大商所,I,12,12,5,0
20230718,XDCE,大商所,J,12,12,2,0
20230718,XDCE,大商所,JM,12,12,3,0
20230718,XDCE,大商所,L,12,12,6,0
20230718,XDCE,大商所,M,8,8,5,0
20230718,XDCE,大商所,P,12,12,6,0
20230718,XDCE,大商所,PG,12,12,6,0
20230718,XDCE,大商所,PP,12,12,4,0
20230718,XDCE,大商所,RR,12,12,0,0
20230718,XDCE,大商所,V,12,12,4,0
20230718,XDCE,大商所,Y,8,8,5,0
20230718,XSGE,上期所,AG,12,12,6,0
20230718,XSGE,上期所,AL,12,12,3,0
20230718,XSGE,上期所,AO,9,8,2,0
20230718,XSGE,上期所,AU,8,8,3,0
20230718,XSGE,上期所,BU,16,16,6,0
20230718,XSGE,上期所,CU,12,12,7,0
20230718,XSGE,上期所,FU,12,12,4,0
20230718,XSGE,上期所,HC,12,12,3,0
20230718,XSGE,上期所,NI,12,12,4,0
20230718,XSGE,上期所,PB,12,12,3,0
20230718,XSGE,上期所,RB,12,12,7,0
20230718,XSGE,上期所,RU,10,10,4,0
20230718,XSGE,上期所,SN,12,12,5,0
20230718,XSGE,上期所,SP,12,12,4,0
20230718,XSGE,上期所,SS,12,12,2,0
20230718,XSGE,上期所,ZN,12,12,3,0
20230718,XSIE,能源中心,BC,12,12,2,0
20230718,XSIE,能源中心,LU,12,12,3,0
20230718,XSIE,能源中心,NR,12,12,2,0
20230718,XSIE,能源中心,SC,20,20,4,0
20230719,XDCE,大商所,A,6,6,3,0
20230719,XDCE,大商所,B,12,12,3,0
20230719,XDCE,大商所,C,6,6,6,0
20230719,XDCE,大商所,CS,6,6,3,0
20230719,XDCE,大商所,EB,12,12,3,0
20230719,XDCE,大商所,EG,12,12,4,0
20230719,XDCE,大商所,I,12,12,4,0
20230719,XDCE,大商所,J,12,12,2,0
20230719,XDCE,大商所,JM,12,12,3,0
20230719,XDCE,大商所,L,12,12,5,0
20230719,XDCE,大商所,M,8,8,6,0
20230719,XDCE,大商所,P,12,12,7,0
20230719,XDCE,大商所,PG,12,12,7,0
20230719,XDCE,大商所,PP,12,12,4,0
20230719,XDCE,大商所,RR,12,12,3,0
20230719,XDCE,大商所,V,12,12,6,0
20230719,XDCE,大商所,Y,8,8,5,0
20230719,XSGE,上期所,AG,12,12,5,0
20230719,XSGE,上期所,AL,12,12,5,0
20230719,XSGE,上期所,AO,9,8,2,0
20230719,XSGE,上期所,AU,8,8,5,0
20230719,XSGE,上期所,BU,16,16,6,0
20230719,XSGE,上期所,CU,12,12,4,0
20230719,XSGE,上期所,FU,12,12,5,0
20230719,XSGE,上期所,HC,12,12,5,0
20230719,XSGE,上期所,NI,12,12,4,0
20230719,XSGE,上期所,PB,12,12,2,0
20230719,XSGE,上期所,RB,12,12,5,0
20230719,XSGE,上期所,RU,10,10,2,0
20230719,XSGE,上期所,SN,12,12,2,0
20230719,XSGE,上期所,SP,12,12,5,0
20230719,XSGE,上期所,SS,12,12,3,0
20230719,XSGE,上期所,ZN,12,12,4,0
20230719,XSIE,能源中心,BC,12,12,1,0
20230719,XSIE,能源中心,LU,12,12,2,0
20230719,XSIE,能源中心,NR,12,12,3,0
20230719,XSIE,能源中心,SC,20,20,4,0
20230720,XDCE,大商所,A,6,6,3,0
20230720,XDCE,大商所,B,12,12,3,0
20230720,XDCE,大商所,C,6,6,6,0
20230720,XDCE,大商所,CS,6,6,3,0
20230720,XDCE,大商所,EB,12,12,4,0
20230720,XDCE,大商所,EG,12,12,3,0
20230720,XDCE,大商所,I,12,12,6,0
20230720,XDCE,大商所,J,12,12,1,0
20230720,XDCE,大商所,JM,12,12,3,0
20230720,XDCE,大商所,L,12,12,6,0
20230720,XDCE,大商所,M,8,8,7,0
20230720,XDCE,大商所,P,12,12,6,0
20230720,XDCE,大商所,PG,12,12,3,0
20230720,XDCE,大商所,PP,12,12,5,0
20230720,XDCE,大商所,RR,12,12,1,0
20230720,XDCE,大商所,V,12,12,5,0
20230720,XDCE,大商所,Y,8,8,5,0
20230720,XSGE,上期所,AG,12,12,8,0
20230720,XSGE,上期所,AL,12,12,5,0
20230720,XSGE,上期所,AO,9,9,2,0
20230720,XSGE,上期所,AU,8,8,3,0
20230720,XSGE,上期所,BU,16,16,5,0
20230720,XSGE,上期所,CU,12,12,3,0
20230720,XSGE,上期所,FU,12,12,9,0
20230720,XSGE,上期所,HC,12,12,4,0
20230720,XSGE,上期所,NI,12,12,3,0
20230720,XSGE,上期所,PB,12,12,3,0
20230720,XSGE,上期所,RB,12,12,7,0
20230720,XSGE,上期所,RU,10,10,6,0
20230720,XSGE,上期所,SN,12,12,6,0
20230720,XSGE,上期所,SP,12,12,4,0
20230720,XSGE,上期所,SS,12,12,4,0
20230720,XSGE,上期所,ZN,12,12,4,0
20230720,XSIE,能源中心,BC,12,12,2,0
20230720,XSIE,能源中心,LU,12,12,3,0
20230720,XSIE,能源中心,NR,12,12,3,0
20230720,XSIE,能源中心,SC,20,20,5,0
20230721,XDCE,大商所,A,6,6,2,0
20230721,XDCE,大商所,B,12,12,3,0
20230721,XDCE,大商所,C,6,6,6,0
20230721,XDCE,大商所,CS,6,6,3,0
20230721,XDCE,大商所,EB,12,12,3,0
20230721,XDCE,大商所,EG,12,12,4,0
20230721,XDCE,大商所,I,12,12,5,0
20230721,XDCE,大商所,J,12,12,1,0
20230721,XDCE,大商所,JM,12,12,2,0
20230721,XDCE,大商所,L,12,12,7,0
20230721,XDCE,大商所,M,8,8,5,0
20230721,XDCE,大商所,P,12,12,5,0
20230721,XDCE,大商所,PG,12,12,5,0
20230721,XDCE,大商所,PP,12,12,3,0
20230721,XDCE,大商所,RR,12,12,3,0
20230721,XDCE,大商所,V,12,12,4,0
20230721,XDCE,大商所,Y,8,8,5,0
20230721,XSGE,上期所,AG,12,12,7,0
20230721,XSGE,上期所,AL,12,12,6,0
20230721,XSGE,上期所,AO,9,9,2,0
20230721,XSGE,上期所,AU,8,8,4,0
20230721,XSGE,上期所,BU,16,16,4,0
20230721,XSGE,上期所,CU,12,12,4,0
20230721,XSGE,上期所,FU,12,12,4,0
20230721,XSGE,上期所,HC,12,12,4,0
20230721,XSGE,上期所,NI,12,12,3,0
20230721,XSGE,上期所,PB,12,12,3,0
20230721,XSGE,上期所,RB,12,12,8,0
20230721,XSGE,上期所,RU,10,10,5,0
20230721,XSGE,上期所,SN,12,12,3,0
20230721,XSGE,上期所,SP,12,12,5,0
20230721,XSGE,上期所,SS,12,12,4,0
20230721,XSGE,上期所,ZN,12,12,3,0
20230721,XSIE,能源中心,BC,12,12,2,0
20230721,XSIE,能源中心,LU,12,12,3,0
20230721,XSIE,能源中心,NR,12,12,3,0
20230721,XSIE,能源中心,SC,20,20,3,0
20230724,XDCE,大商所,A,6,6,3,0
20230724,XDCE,大商所,B,12,12,2,0
20230724,XDCE,大商所,C,6,6,4,0
20230724,XDCE,大商所,CS,6,6,3,0
20230724,XDCE,大商所,EB,12,12,5,0
20230724,XDCE,大商所,EG,12,12,4,0
20230724,XDCE,大商所,I,12,12,6,0
20230724,XDCE,大商所,J,12,12,2,0
20230724,XDCE,大商所,JM,12,12,2,0
20230724,XDCE,大商所,L,12,12,3,0
20230724,XDCE,大商所,M,8,8,7,0
20230724,XDCE,大商所,P,12,12,5,0
20230724,XDCE,大商所,PG,12,12,5,0
20230724,XDCE,大商所,PP,12,12,3,0
20230724,XDCE,大商所,RR,12,12,1,0
20230724,XDCE,大商所,V,12,12,3,0
20230724,XDCE,大商所,Y,8,8,4,0
20230724,XSGE,上期所,AG,12,12,5,0
20230724,XSGE,上期所,AL,12,12,5,0
20230724,XSGE,上期所,AO,9,9,2,0
20230724,XSGE,上期所,AU,8,8,3,0
20230724,XSGE,上期所,BU,16,16,4,0
20230724,XSGE,上期所,CU,12,12,5,0
20230724,XSGE,上期所,FU,12,12,9,0
20230724,XSGE,上期所,HC,12,12,3,0
20230724,XSGE,上期所,NI,12,12,4,0
20230724,XSGE,上期所,PB,12,12,3,0
20230724,XSGE,上期所,RB,12,12,7,0
20230724,XSGE,上期所,RU,10,10,4,0
20230724,XSGE,上期所,SN,12,12,4,0
20230724,XSGE,上期所,SP,12,12,6,0
20230724,XSGE,上期所,SS,12,12,4,0
20230724,XSGE,上期所,ZN,12,12,4,0
20230724,XSIE,能源中心,BC,12,12,1,0
20230724,XSIE,能源中心,LU,12,12,4,0
20230724,XSIE,能源中心,NR,12,12,2,0
20230724,XSIE,能源中心,SC,20,20,3,0
20230725,XDCE,大商所,A,6,6,2,0
20230725,XDCE,大商所,B,12,12,2,0
20230725,XDCE,大商所,C,6,6,4,0
20230725,XDCE,大商所,CS,6,6,3,0
20230725,XDCE,大商所,EB,12,12,8,0
20230725,XDCE,大商所,EG,12,12,4,0
20230725,XDCE,大商所,I,12,12,9,0
20230725,XDCE,大商所,J,12,12,2,0
20230725,XDCE,大商所,JM,12,12,3,0
20230725,XDCE,大商所,L,12,12,4,0
20230725,XDCE,大商所,M,8,8,8,0
20230725,XDCE,大商所,P,12,12,6,0
20230725,XDCE,大商所,PG,12,12,4,0
20230725,XDCE,大商所,PP,12,12,3,0
20230725,XDCE,大商所,RR,12,12,2,0
20230725,XDCE,大商所,V,12,12,4,0
20230725,XDCE,大商所,Y,8,8,6,0
20230725,XSGE,上期所,AG,12,12,5,0
20230725,XSGE,上期所,AL,12,12,3,0
20230725,XSGE,上期所,AO,9,9,2,0
20230725,XSGE,上期所,AU,8,8,3,0
20230725,XSGE,上期所,BU,16,16,5,0
20230725,XSGE,上期所,CU,12,12,5,0
20230725,XSGE,上期所,FU,12,12,7,0
20230725,XSGE,上期所,HC,12,12,5,0
20230725,XSGE,上期所,NI,12,12,3,0
20230725,XSGE,上期所,PB,12,12,3,0
20230725,XSGE,上期所,RB,12,12,9,0
20230725,XSGE,上期所,RU,10,10,6,0
20230725,XSGE,上期所,SN,12,12,5,0
20230725,XSGE,上期所,SP,12,12,6,0
20230725,XSGE,上期所,SS,12,12,4,0
20230725,XSGE,上期所,ZN,12,12,3,0
20230725,XSIE,能源中心,BC,12,12,3,0
20230725,XSIE,能源中心,LU,12,12,3,0
20230725,XSIE,能源中心,NR,12,12,4,0
20230725,XSIE,能源中心,SC,20,20,5,0
20230726,XDCE,大商所,A,6,6,3,0
20230726,XDCE,大商所,B,12,12,3,0
20230726,XDCE,大商所,C,6,6,5,0
20230726,XDCE,大商所,CS,6,6,3,0
20230726,XDCE,大商所,EB,12,12,4,0
20230726,XDCE,大商所,EG,12,12,5,0
20230726,XDCE,大商所,I,12,12,4,0
20230726,XDCE,大商所,J,12,12,2,0
20230726,XDCE,大商所,JM,12,12,2,0
20230726,XDCE,大商所,L,12,12,3,0
20230726,XDCE,大商所,M,8,8,8,0
20230726,XDCE,大商所,P,12,12,3,0
20230726,XDCE,大商所,PG,12,12,4,0
20230726,XDCE,大商所,PP,12,12,3,0
20230726,XDCE,大商所,RR,12,12,1,0
20230726,XDCE,大商所,V,12,12,2,0
20230726,XDCE,大商所,Y,8,8,4,0
20230726,XSGE,上期所,AG,12,12,6,0
20230726,XSGE,上期所,AL,12,12,3,0
20230726,XSGE,上期所,AO,9,9,2,0
20230726,XSGE,上期所,AU,8,8,4,0
20230726,XSGE,上期所,BU,16,16,6,0
20230726,XSGE,上期所,CU,12,12,5,0
20230726,XSGE,上期所,FU,12,12,7,0
20230726,XSGE,上期所,HC,12,12,7,0
20230726,XSGE,上期所,NI,12,12,4,0
20230726,XSGE,上期所,PB,12,12,3,0
20230726,XSGE,上期所,RB,12,12,10,0
20230726,XSGE,上期所,RU,10,10,5,0
20230726,XSGE,上期所,SN,12,12,3,0
20230726,XSGE,上期所,SP,12,12,3,0
20230726,XSGE,上期所,SS,12,12,3,0
20230726,XSGE,上期所,ZN,12,12,3,0
20230726,XSIE,能源中心,BC,12,12,3,0
20230726,XSIE,能源中心,LU,12,12,5,0
20230726,XSIE,能源中心,NR,12,12,3,0
20230726,XSIE,能源中心,SC,20,20,4,0
20230727,XDCE,大商所,A,6,6,2,0
20230727,XDCE,大商所,B,12,12,5,0
20230727,XDCE,大商所,C,6,6,6,0
20230727,XDCE,大商所,CS,6,6,4,0
20230727,XDCE,大商所,EB,12,12,4,0
20230727,XDCE,大商所,EG,12,12,5,0
20230727,XDCE,大商所,I,12,12,9,0
20230727,XDCE,大商所,J,12,12,2,0
20230727,XDCE,大商所,JM,12,12,4,0
20230727,XDCE,大商所,L,12,12,4,0
20230727,XDCE,大商所,M,8,8,7,0
20230727,XDCE,大商所,P,12,12,5,0
20230727,XDCE,大商所,PG,12,12,3,0
20230727,XDCE,大商所,PP,12,12,4,0
20230727,XDCE,大商所,RR,12,12,1,0
20230727,XDCE,大商所,V,12,12,4,0
20230727,XDCE,大商所,Y,8,8,6,0
20230727,XSGE,上期所,AG,12,12,6,0
20230727,XSGE,上期所,AL,12,12,4,0
20230727,XSGE,上期所,AO,9,9,3,0
20230727,XSGE,上期所,AU,8,8,3,0
20230727,XSGE,上期所,BU,16,16,6,0
20230727,XSGE,上期所,CU,12,12,4,0
20230727,XSGE,上期所,FU,12,12,5,0
20230727,XSGE,上期所,HC,12,12,7,0
20230727,XSGE,上期所,NI,12,12,5,0
20230727,XSGE,上期所,PB,12,12,3,0
20230727,XSGE,上期所,RB,12,12,11,0
20230727,XSGE,上期所,RU,10,10,5,0
20230727,XSGE,上期所,SN,12,12,4,0
20230727,XSGE,上期所,SP,12,12,5,0
20230727,XSGE,上期所,SS,12,12,4,0
20230727,XSGE,上期所,ZN,12,12,3,0
20230727,XSIE,能源中心,BC,12,12,2,0
20230727,XSIE,能源中心,LU,12,12,3,0
20230727,XSIE,能源中心,NR,12,12,2,0
20230727,XSIE,能源中心,SC,20,20,3,0
20230728,XDCE,大商所,A,6,6,3,0
20230728,XDCE,大商所,B,12,12,3,0
20230728,XDCE,大商所,C,6,6,4,0
20230728,XDCE,大商所,CS,6,6,3,0
20230728,XDCE,大商所,EB,12,12,3,0
20230728,XDCE,大商所,EG,12,12,4,0
20230728,XDCE,大商所,I,12,12,8,0
20230728,XDCE,大商所,J,12,12,2,0
20230728,XDCE,大商所,JM,12,12,2,0
20230728,XDCE,大商所,L,12,12,5,0
20230728,XDCE,大商所,M,8,8,7,0
20230728,XDCE,大商所,P,12,12,3,0
20230728,XDCE,大商所,PG,12,12,3,0
20230728,XDCE,大商所,PP,12,12,4,0
20230728,XDCE,大商所,RR,12,12,2,0
20230728,XDCE,大商所,V,12,12,4,0
20230728,XDCE,大商所,Y,8,8,4,0
20230728,XSGE,上期所,AG,12,12,8,0
20230728,XSGE,上期所,AL,12,12,3,0
20230728,XSGE,上期所,AO,9,9,2,0
20230728,XSGE,上期所,AU,8,8,4,0
20230728,XSGE,上期所,BR,7,7,0,0
20230728,XSGE,上期所,BU,16,16,4,0
20230728,XSGE,上期所,CU,12,12,4,0
20230728,XSGE,上期所,FU,12,12,6,0
20230728,XSGE,上期所,HC,12,12,5,0
20230728,XSGE,上期所,NI,12,12,3,0
20230728,XSGE,上期所,PB,12,12,5,0
20230728,XSGE,上期所,RB,12,12,10,0
20230728,XSGE,上期所,RU,10,10,5,0
20230728,XSGE,上期所,SN,12,12,4,0
20230728,XSGE,上期所,SP,12,12,7,0
20230728,XSGE,上期所,SS,12,12,5,0
20230728,XSGE,上期所,ZN,12,12,4,0
20230728,XSIE,能源中心,BC,12,12,2,0
20230728,XSIE,能源中心,LU,12,12,3,0
20230728,XSIE,能源中心,NR,12,12,2,0
20230728,XSIE,能源中心,SC,20,20,4,0
20230731,XDCE,大商所,A,6,6,3,0
20230731,XDCE,大商所,B,12,12,3,0
20230731,XDCE,大商所,C,6,6,3,0
20230731,XDCE,大商所,CS,6,6,4,0
20230731,XDCE,大商所,EB,12,12,5,0
20230731,XDCE,大商所,EG,12,12,4,0
20230731,XDCE,大商所,I,12,12,6,0
20230731,XDCE,大商所,J,12,12,2,0
20230731,XDCE,大商所,JM,12,12,4,0
20230731,XDCE,大商所,L,12,12,4,0
20230731,XDCE,大商所,M,8,8,6,0
20230731,XDCE,大商所,P,12,12,3,0
20230731,XDCE,大商所,PG,12,12,3,0
20230731,XDCE,大商所,PP,12,12,4,0
20230731,XDCE,大商所,RR,12,12,3,0
20230731,XDCE,大商所,V,12,12,5,0
20230731,XDCE,大商所,Y,8,8,5,0
20230731,XSGE,上期所,AG,12,12,6,0
20230731,XSGE,上期所,AL,12,12,4,0
20230731,XSGE,上期所,AO,9,9,2,0
20230731,XSGE,上期所,AU,8,8,4,0
20230731,XSGE,上期所,BR,7,7,1,0
20230731,XSGE,上期所,BU,16,16,4,0
20230731,XSGE,上期所,CU,12,12,5,0
20230731,XSGE,上期所,FU,12,12,5,0
20230731,XSGE,上期所,HC,12,12,5,0
20230731,XSGE,上期所,NI,12,12,4,0
20230731,XSGE,上期所,PB,12,12,4,0
20230731,XSGE,上期所,RB,12,12,9,0
20230731,XSGE,上期所,RU,10,10,5,0
